53.png: Dice=0.1555, IoU=0.0843
54.png: Dice=0.9388, IoU=0.8846
55.png: Dice=0.9613, IoU=0.9255
56.png: Dice=0.9530, IoU=0.9102
57.png: Dice=0.9624, IoU=0.9275
58.png: Dice=0.8473, IoU=0.7350
59.png: Dice=0.7954, IoU=0.6603
6.png: Dice=0.8731, IoU=0.7747
60.png: Dice=0.0244, IoU=0.0123
61.png: Dice=0.7828, IoU=0.6431
62.png: Dice=0.8108, IoU=0.6818
63.png: Dice=0.9692, IoU=0.9403
64.png: Dice=0.9861, IoU=0.9726
65.png: Dice=0.9753, IoU=0.9517
66.png: Dice=0.9878, IoU=0.9759
67.png: Dice=0.9698, IoU=0.9414
68.png: Dice=0.9560, IoU=0.9156
69.png: Dice=0.5926, IoU=0.4210
7.png: Dice=0.6175, IoU=0.4466
70.png: Dice=0.0041, IoU=0.0021
71.png: Dice=0.4347, IoU=0.2777
72.png: Dice=0.7290, IoU=0.5735
73.png: Dice=0.6030, IoU=0.4317
74.png: Dice=0.8693, IoU=0.7689
75.png: Dice=0.8734, IoU=0.7753
76.png: Dice=0.7793, IoU=0.6384
77.png: Dice=0.6897, IoU=0.5263
78.png: Dice=0.0000, IoU=0.0000
79.png: Dice=0.0480, IoU=0.0246
8.png: Dice=0.3379, IoU=0.2033
80.png: Dice=0.8880, IoU=0.7985
81.png: Dice=0.9789, IoU=0.9586
82.png: Dice=0.9294, IoU=0.8682
83.png: Dice=0.9755, IoU=0.9522
84.png: Dice=0.9779, IoU=0.9568
85.png: Dice=0.9702, IoU=0.9421
86.png: Dice=0.9428, IoU=0.8918
87.png: Dice=0.8119, IoU=0.6834
88.png: Dice=0.7702, IoU=0.6263
89.png: Dice=0.8613, IoU=0.7564
9.png: Dice=0.5958, IoU=0.4243
90.png: Dice=0.9247, IoU=0.8600
91.png: Dice=0.8669, IoU=0.7651
92.png: Dice=0.6721, IoU=0.5061
93.png: Dice=0.8766, IoU=0.7803
94.png: Dice=0.8354, IoU=0.7173
95.png: Dice=0.8115, IoU=0.6828
96.png: Dice=0.8737, IoU=0.7757
97.png: Dice=0.8098, IoU=0.6804
98.png: Dice=0.8369, IoU=0.7196
99.png: Dice=0.6689, IoU=0.5026
