23.png: Dice=0.8931, IoU=0.8069
230.png: Dice=0.9740, IoU=0.9494
231.png: Dice=0.9372, IoU=0.8819
232.png: Dice=0.9347, IoU=0.8774
233.png: Dice=0.9535, IoU=0.9111
234.png: Dice=0.9555, IoU=0.9148
235.png: Dice=0.9421, IoU=0.8906
236.png: Dice=0.9724, IoU=0.9462
237.png: Dice=0.9604, IoU=0.9238
238.png: Dice=0.9715, IoU=0.9446
239.png: Dice=0.9628, IoU=0.9282
24.png: Dice=0.9127, IoU=0.8395
240.png: Dice=0.9650, IoU=0.9324
241.png: Dice=0.9483, IoU=0.9016
242.png: Dice=0.9444, IoU=0.8947
243.png: Dice=0.9380, IoU=0.8833
244.png: Dice=0.2407, IoU=0.1368
245.png: Dice=0.9444, IoU=0.8947
246.png: Dice=0.9380, IoU=0.8833
247.png: Dice=0.2407, IoU=0.1368
248.png: Dice=0.9444, IoU=0.8947
249.png: Dice=0.9380, IoU=0.8833
25.png: Dice=0.9092, IoU=0.8335
250.png: Dice=0.2407, IoU=0.1368
251.png: Dice=0.9444, IoU=0.8947
252.png: Dice=0.9380, IoU=0.8833
253.png: Dice=0.2407, IoU=0.1368
254.png: Dice=0.9444, IoU=0.8947
255.png: Dice=0.9380, IoU=0.8833
256.png: Dice=0.2407, IoU=0.1368
257.png: Dice=0.9444, IoU=0.8947
258.png: Dice=0.9380, IoU=0.8833
259.png: Dice=0.2407, IoU=0.1368
26.png: Dice=0.8936, IoU=0.8076
260.png: Dice=0.9444, IoU=0.8947
261.png: Dice=0.9380, IoU=0.8833
262.png: Dice=0.2407, IoU=0.1368
263.png: Dice=0.9444, IoU=0.8947
264.png: Dice=0.4699, IoU=0.3071
265.png: Dice=0.2479, IoU=0.1415
266.png: Dice=0.9491, IoU=0.9031
267.png: Dice=0.3748, IoU=0.2306
268.png: Dice=0.1489, IoU=0.0805
269.png: Dice=0.6066, IoU=0.4353
27.png: Dice=0.8613, IoU=0.7564
270.png: Dice=0.6096, IoU=0.4384
271.png: Dice=0.4699, IoU=0.3071
272.png: Dice=0.2479, IoU=0.1415
273.png: Dice=0.6502, IoU=0.4817
274.png: Dice=0.4941, IoU=0.3281
275.png: Dice=0.7982, IoU=0.6641
276.png: Dice=0.7519, IoU=0.6024
277.png: Dice=0.8298, IoU=0.7091
278.png: Dice=0.8170, IoU=0.6906
279.png: Dice=0.9037, IoU=0.8243
28.png: Dice=0.8317, IoU=0.7119
280.png: Dice=0.8172, IoU=0.6909
