Timestamp,Model,Dataset,Mean Dice,Mean IoU
2025-12-23 14:13:24,PolyMAN,CVC-ColonDB,0.7829,0.7058
2025-12-23 14:13:45,PolyMAN,ETIS-Larib,0.7394,0.6501
2025-12-23 15:10:06,PolyMAN,CVC-ColonDB,0.7556,0.6734
2025-12-23 15:10:22,PolyMAN,ETIS-Larib,0.7468,0.6455
2025-12-23 15:15:25,PolyMAN,CVC-ColonDB,0.7747,0.6987,With TTA
2025-12-23 15:15:44,PolyMAN,ETIS-Larib,0.7788,0.6830,With TTA
2025-12-24 03:30:07,PolyMAN,CVC-ColonDB,0.7759,0.7024,With TTA
2025-12-24 03:30:32,PolyMAN,ETIS-Larib,0.7711,0.6847,With TTA
2025-12-25 02:51:37,PolyMAN,CVC-ColonDB,0.7852,0.7109,With TTA
2025-12-25 02:52:03,PolyMAN,ETIS-Larib,0.7762,0.6896,With TTA
2025-12-25 05:58:19,PolyMAN,CVC-ColonDB,0.7776,0.7004,With TTA
2025-12-25 05:58:48,PolyMAN,ETIS-Larib,0.7767,0.6873,With TTA
2026-01-26 05:52:24,PolyMAN,CVC-ColonDB,0.7855,0.7125,With TTA
2026-01-26 05:52:58,PolyMAN,ETIS-Larib,0.7859,0.6985,With TTA
2026-01-27 18:13:22,PolyMAN,CVC-ColonDB,0.7809,0.7039,With TTA
2026-01-27 18:13:55,PolyMAN,ETIS-Larib,0.7606,0.6702,With TTA
2026-01-27 18:16:19,PolyMAN,CVC-ColonDB,0.7809,0.7039,With TTA
2026-01-27 18:16:47,PolyMAN,ETIS-Larib,0.7606,0.6702,With TTA
2026-01-27 18:26:06,PolyMAN,CVC-ColonDB,0.7809,0.7039,With TTA
2026-01-27 18:26:34,PolyMAN,ETIS-Larib,0.7606,0.6702,With TTA
2026-02-04 03:43:28,PolyMAN,CVC-ColonDB,0.7974,0.7205,With TTA
2026-02-04 03:44:02,PolyMAN,ETIS-Larib,0.7701,0.6801,With TTA
2026-02-25 15:02:47,PolyMAN,CVC-300,0.8791,0.8077,Standard (No TTA)
